id,device_type,symptom_text,image_path,label,severity,recommendation
lap_0013,laptop,hình trên laptop bị rung nhẹ và rất khó đọc chữ,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0014,laptop,panel xuất hiện đốm sáng bất thường ở giữa màn hình,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0015,laptop,máy vào windows rồi mà màn hình vẫn đen sì,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0016,laptop,màn hình bị loé sáng từng nhịp như sắp tắt hẳn,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0017,laptop,"phần hiển thị bị nhiễu màu, nhìn ảnh nào cũng sai màu",,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0018,laptop,laptop khởi động xong nhưng chỉ có màn hình xám mờ,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0019,laptop,màn hình có các đường sọc mảnh xuất hiện ngay khi bật máy,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0020,laptop,"máy em bị đen nửa màn hình, nửa còn lại vẫn hiển thị",,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0021,laptop,mỗi lần chỉnh góc nghiêng thì hình ảnh bị mất đột ngột,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0022,laptop,màn hình laptop thỉnh thoảng trắng xoá rồi mới trở lại bình thường,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0023,laptop,chữ trên màn hình bị bóng mờ như có hai lớp chồng lên nhau,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0024,laptop,phần hiển thị lúc sáng lúc tối không ổn định,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0025,laptop,laptop vẫn phát tiếng nhưng không thấy hình ảnh nào trên màn hình,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0026,laptop,màn hình bị nháy liên tục khi em cắm sạc vào máy,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0027,laptop,máy lên nhưng biểu tượng và chữ đều bị méo hiển thị,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0028,laptop,em thấy màn hình có vệt đen kéo dài ở cạnh phải,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0029,laptop,màn hình xuất hiện nhiều chấm li ti sáng bất thường,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0030,laptop,vừa bật máy lên là panel đã hiện sọc màu rất rõ,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0031,laptop,hình ảnh bị vỡ khung nhìn như lỗi hiển thị đồ hoạ,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0032,laptop,màn hình laptop cứ mờ dần rồi tối hẳn sau vài phút,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0033,laptop,máy không bị tắt nguồn nhưng màn hình không hiện desktop,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0034,laptop,màn hình có hiện nhưng màu trắng bị ám vàng nặng,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0035,laptop,em nhìn thấy các vạch rung trên màn hình mỗi khi mở ứng dụng,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0036,laptop,"phần hiển thị bị nhòe chữ, đọc văn bản rất khó",,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0037,laptop,màn hình bị tối bất thường dù em đã tăng độ sáng,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0038,laptop,"đèn màn hình có vẻ hoạt động không đều, lúc mạnh lúc yếu",,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0039,laptop,máy vẫn phản hồi bàn phím nhưng màn hình không hiển thị nội dung,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0040,laptop,màn hình bị nhấp nháy ngay cả khi chỉ mở trình duyệt,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0041,laptop,em bật lên thì màn hình chỉ sáng nền chứ không có hình,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0042,laptop,máy xuất hiện các sọc xanh đỏ khi vừa vào màn hình đăng nhập,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0043,laptop,giao diện trên màn hình bị chồng hình lên nhau,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0044,laptop,màn hình laptop có vùng bị tối như bóng đen che lại,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0045,laptop,hình ảnh cứ biến mất vài giây rồi hiện lại,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0046,laptop,panel hiển thị bị loá sáng ở một dải ngang giữa màn hình,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0047,laptop,màn hình bị giật hình liên tục khi em sử dụng bình thường,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0048,laptop,laptop vẫn hoạt động nhưng màn hình trắng bệch,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0049,laptop,"phần hiển thị bị đứt đoạn, có chỗ hiện có chỗ không",,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0050,laptop,mỗi lần khởi động là màn hình lại xuất hiện sọc ngay lập tức,,screen_issue,medium,"Kiểm tra cáp màn hình, card đồ họa hoặc tấm nền hiển thị"
lap_0051,laptop,cắm sạc vào nhưng phần trăm pin không tăng lên,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0052,laptop,máy em không nhận bộ sạc dù đèn adapter vẫn sáng,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0053,laptop,pin tụt rất nhanh dù em chỉ mở vài tab nhẹ,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0054,laptop,laptop báo đang sạc nhưng mãi không đầy pin,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0055,laptop,rút dây sạc ra là máy tắt ngay lập tức,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0056,laptop,pin vừa sạc xong mà dùng chưa lâu đã xuống còn rất ít,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0057,laptop,cổng sạc cắm vào lỏng và máy lúc nhận lúc không,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0058,laptop,máy chỉ chạy được khi em cắm điện trực tiếp,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0059,laptop,pin laptop chai nặng nên tụt phần trăm liên tục,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0060,laptop,đang cắm sạc nhưng biểu tượng pin vẫn báo yếu,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0061,laptop,máy sạc rất lâu mà pin chỉ tăng được vài phần trăm,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0062,laptop,laptop không báo nhận sạc khi em cắm adapter,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0063,laptop,pin đầy 100 nhưng rút sạc ra là xuống rất nhanh,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0064,laptop,máy đang dùng thì pin rớt phần trăm bất thường,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0065,laptop,cắm sạc qua đêm mà sáng dậy pin vẫn chưa đầy,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0066,laptop,laptop báo plugged in nhưng pin không vào thêm,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0067,laptop,em đổi ổ điện khác rồi mà máy vẫn không nhận sạc,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0068,laptop,pin của máy chỉ dùng được một lúc ngắn là cạn,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0069,laptop,vừa mở máy lên thì pin đã tụt mạnh dù mới sạc,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0070,laptop,máy không thể sạc vượt qua một mức pin cố định,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0071,laptop,em cắm sạc nhưng laptop chập chờn lúc sạc lúc ngắt,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0072,laptop,pin xuống nhanh ngay cả khi để chế độ tiết kiệm điện,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0073,laptop,máy báo pin yếu liên tục dù đang nối nguồn,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0074,laptop,khi cắm adapter thì không thấy biểu tượng sạc xuất hiện,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0075,laptop,pin laptop em nóng và xả rất nhanh,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0076,laptop,"máy không chạy bằng pin, cứ rút sạc là tắt",,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0077,laptop,sạc vào rất chậm làm em dùng không kịp,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0078,laptop,bộ sạc đang cắm nhưng phần trăm pin đứng yên,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0079,laptop,pin giảm nhanh bất thường sau một lần cập nhật hệ thống,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0080,laptop,em cắm nguồn đúng nhưng laptop không vào điện,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0081,laptop,máy nhận sạc lúc đầu rồi vài phút sau tự ngắt,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0082,laptop,pin hiển thị còn nhiều nhưng tụt xuống 0 rất nhanh,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0083,laptop,laptop cứ báo lỗi pin và không sạc được,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0084,laptop,sạc qua cổng nguồn nhưng máy không có phản ứng gì,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0085,laptop,pin của em bị hao cực nhanh kể cả khi không dùng nặng,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0086,laptop,máy cứ báo đang dùng pin dù em đã cắm sạc rồi,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0087,laptop,thanh pin không nhúc nhích dù em để sạc rất lâu,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0088,laptop,laptop dùng pin chỉ được chưa tới nửa tiếng,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0089,laptop,cứ di chuyển dây sạc là máy mất kết nối nguồn,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0090,laptop,pin laptop sụt mạnh khi mở ứng dụng nhẹ,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0091,laptop,máy chỉ hoạt động ổn định khi cắm adapter,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0092,laptop,sạc cắm vào nhưng đèn báo pin không đổi trạng thái,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0093,laptop,pin không giữ được điện sau khi sạc đầy,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0094,laptop,laptop không nạp pin dù bộ sạc vẫn bình thường,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0095,laptop,em thấy phần trăm pin nhảy số thất thường lên xuống liên tục,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0096,laptop,máy báo pin cần thay vì thời lượng còn quá thấp,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0097,laptop,cắm sạc vào lâu nhưng máy vẫn báo mức pin đỏ,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0098,laptop,pin tụt nhanh ngay sau khi rút sạc khỏi máy,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0099,laptop,laptop không nhận nguồn ngoài nên không sạc được,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0100,laptop,máy em vừa dùng vừa sạc mà pin vẫn giảm dần,,battery_charging_issue,medium,"Kiểm tra bộ sạc, cổng sạc và tình trạng pin"
lap_0101,laptop,máy nóng lên rất nhanh chỉ sau vài phút sử dụng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0102,laptop,quạt laptop kêu lớn liên tục và thân máy rất nóng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0103,laptop,đang dùng bình thường thì máy tự tắt vì quá nhiệt,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0104,laptop,phần đáy laptop nóng ran khi em chỉ mở trình duyệt,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0105,laptop,máy chạy ứng dụng nhẹ nhưng vẫn nóng bất thường,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0106,laptop,quanh khu vực bàn phím tỏa nhiệt rất mạnh,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0107,laptop,laptop vừa bật một lúc đã nóng ở chỗ thoát gió,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0108,laptop,quạt quay vù vù suốt nhưng máy vẫn không mát,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0109,laptop,em chơi game chút thôi mà máy nóng không cầm nổi,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0110,laptop,máy thường xuyên sập nguồn sau khi nóng lên cao,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0111,laptop,nhiệt độ tăng nhanh dù em không mở nhiều phần mềm,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0112,laptop,laptop phát ra tiếng quạt to kèm nóng phần dưới,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0113,laptop,máy rất nóng khi sạc pin và dùng cùng lúc,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0114,laptop,vừa họp online một lúc là thân máy nóng rực,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0115,laptop,laptop tỏa nhiều nhiệt ở mặt đáy và cạnh bên,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0116,laptop,quạt tản nhiệt hoạt động mạnh nhưng máy vẫn quá nóng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0117,laptop,máy nóng dần lên rồi giật lag rõ rệt,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0118,laptop,dùng văn phòng thôi mà khu vực CPU nóng bất thường,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0119,laptop,laptop nóng đến mức tự giảm hiệu năng khi sử dụng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0120,laptop,chỗ đặt tay cũng nóng lên nhanh làm em khó dùng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0121,laptop,máy tăng nhiệt rất mạnh mỗi khi mở vài tác vụ cơ bản,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0122,laptop,sau khoảng mười phút là laptop nóng ran và chậm hẳn,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0123,laptop,"quạt hú to bất thường, hơi nóng thổi ra liên tục",,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0124,laptop,máy em nóng quá nên hay tắt ngang giữa chừng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0125,laptop,phần dưới thân máy luôn nóng ngay cả khi để idle,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0126,laptop,laptop nóng kèm tiếng quạt rít liên miên,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0127,laptop,máy vừa sạc vừa dùng là nhiệt độ tăng rất cao,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0128,laptop,hơi nóng từ khe tản nhiệt thổi ra nhiều bất thường,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0129,laptop,máy em không chạy nặng nhưng vẫn nóng khắp thân,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0130,laptop,sử dụng một lúc là laptop nóng và pin tụt nhanh,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0131,laptop,quạt quay không ngừng khiến máy ồn và nóng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0132,laptop,máy nóng lên khi chỉ xem video trực tuyến,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0133,laptop,laptop bị nóng nhiều ở khu vực cạnh trái,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0134,laptop,nhiệt từ đáy máy cao làm em không thể để lên bàn đùi,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0135,laptop,sau khi mở máy ít phút thì thân máy đã rất nóng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0136,laptop,"máy nóng quá nên hiệu năng giảm rõ, thao tác bị lag",,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0137,laptop,laptop có dấu hiệu quá nhiệt mỗi khi bật lâu,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0138,laptop,em thấy máy nóng mạnh ở gần bản lề màn hình,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0139,laptop,máy đang hoạt động thì đột nhiên sập vì nóng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0140,laptop,phần quạt kêu to và luồng khí ra rất nóng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0141,laptop,máy luôn ở trạng thái nóng kể cả khi không dùng nặng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0142,laptop,nhiệt độ laptop tăng nhanh khi mở phần mềm học tập,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0143,laptop,thân máy hâm nóng liên tục dù chỉ chạy tác vụ nhẹ,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0144,laptop,quạt gào lớn mà máy vẫn nóng bất thường,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0145,laptop,dùng tầm ngắn là laptop đã nóng ở cả mặt trên lẫn dưới,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0146,laptop,máy nóng rồi xuất hiện tình trạng đứng hình,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0147,laptop,chạy vài tab trình duyệt cũng làm laptop nóng nhanh,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0148,laptop,em cảm thấy nhiệt độ máy tăng đột ngột sau khi khởi động,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0149,laptop,laptop hay tự tắt sau khi nóng quá mức,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0150,laptop,quạt tản nhiệt ồn kèm thân máy nóng ran khi dùng,,overheating_issue,medium,Vệ sinh quạt tản nhiệt và kiểm tra khe thoát nhiệt
lap_0151,laptop,bàn phím bị liệt vài nút bên trái không bấm được,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0152,laptop,em nhấn phím enter nhưng máy không nhận lệnh,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0153,laptop,bàn phím tự gõ ký tự dù em không chạm vào,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0154,laptop,một số phím bị kẹt nên bấm rất khó,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0155,laptop,khi gõ văn bản thì nhiều nút hoàn toàn không phản hồi,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0156,laptop,phím space lúc ăn lúc không làm em nhập chữ rất khó,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0157,laptop,nút shift bên trái của laptop không hoạt động,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0158,laptop,máy cứ tự nhập một dãy ký tự lạ liên tục,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0159,laptop,phím backspace phải bấm nhiều lần mới có tác dụng,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0160,laptop,bàn phím bị dính phím nên cứ lặp chữ mãi,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0161,laptop,hàng số phía trên không gõ ra được bình thường,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0162,laptop,em gõ chữ nhưng vài phím cho ra sai ký tự,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0163,laptop,phím nguồn không sao nhưng phần bàn phím bị đơ,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0164,laptop,một nhóm phím ở giữa bị liệt hoàn toàn,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0165,laptop,bàn phím laptop phản hồi rất chậm khi em gõ nhanh,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
lap_0166,laptop,nút ctrl không ăn khiến em không dùng được phím tắt,,keyboard_issue,medium,"Kiểm tra bàn phím, vệ sinh phím và test phần cứng"
